" ID ";"Kod vyrobku";"Nazov vyrobku";"Druhy nazov vyrobku";"Bezna cena";"Nasa cena";"Obrazek (puvodni velkost)";"Obrazek (nahled)";"Merna jednotka";"Parameter 1";"Parameter 2";"Parameter 3";"Pripojit ciselnik vlastnosti (oddelujte znakom ""|"")";"Je skladom (1|0)";"Skladom (pocet kusu)";"Dostupnost (ID dostupnosti)";"EAN kod";Hmotnost;"Tento produkt nezobrazovet v eshope";"Skryt tlacitko kupit";"Doprava zdarma";"Neuplatnovať zlavovy kupon";URL;"Základná cena";Parametre;"Individuálne poradie parametrov";"Minimálne pre objednanie";"Nezobrazovať strážneho psa";"Klucove slova oddelene ciarkou (keywords)";"Strucny popis stranky (description)";"Nazov stranky (title)";"Nezobrazovať vo feedu"
4717_24298358;47012;"KREUL Lakový marker lesklý - medium - rôzne odtiene";"KREUL Lakový marker lesklý - medium - rôzne odtiene";0;3.99;_vyr_47012_v_aa.jpg;_vyrn_47012_v_aa.jpg;ks;;;;144-3682;1;0;0;4000798470128;0;1;1;0;0;;0;Výrobce#-#KREUL;0;0;0;;;;0
4717_24298359;47013;"KREUL Lakový marker lesklý - medium - rôzne odtiene";"KREUL Lakový marker lesklý - medium - rôzne odtiene";0;3.99;_vyr_47013_v_aa.jpg;_vyrn_47013_v_aa.jpg;ks;;;;144-3683;1;0;0;4000798470135;0;1;1;0;0;;0;Výrobce#-#KREUL;0;0;0;;;;0
4717_24298360;47014;"KREUL Lakový marker lesklý - medium - rôzne odtiene";"KREUL Lakový marker lesklý - medium - rôzne odtiene";0;3.99;_vyr_47014_v_aa.jpg;_vyrn_47014_v_aa.jpg;ks;;;;144-3684;1;0;0;4000798470142;0;1;1;0;0;;0;Výrobce#-#KREUL;0;0;0;;;;0
4717_24298361;47015;"KREUL Lakový marker lesklý - medium - rôzne odtiene";"KREUL Lakový marker lesklý - medium - rôzne odtiene";0;3.99;_vyr_47015_v_aa.jpg;_vyrn_47015_v_aa.jpg;ks;;;;144-3685;1;0;0;4000798470159;0;0;0;0;0;;0;Výrobce#-#KREUL;0;0;0;;;;0
4717_24298362;47016;"KREUL Lakový marker lesklý - medium - rôzne odtiene";"KREUL Lakový marker lesklý - medium - rôzne odtiene";0;3.99;_vyr_47016_v_aa.jpg;_vyrn_47016_v_aa.jpg;ks;;;;144-3686;1;0;0;4000798470166;0;1;1;0;0;;0;Výrobce#-#KREUL;0;0;0;;;;0
4717_24298363;47017;"KREUL Lakový marker lesklý - medium - rôzne odtiene";"KREUL Lakový marker lesklý - medium - rôzne odtiene";0;3.99;_vyr_47017_v_aa.jpg;_vyrn_47017_v_aa.jpg;ks;;;;144-3687;1;0;0;4000798470173;0;1;1;0;0;;0;Výrobce#-#KREUL;0;0;0;;;;0
4717_24298364;47018;"KREUL Lakový marker lesklý - medium - rôzne odtiene";"KREUL Lakový marker lesklý - medium - rôzne odtiene";0;3.99;_vyr_47018_v_aa.jpg;_vyrn_47018_v_aa.jpg;ks;;;;144-3688;1;0;0;4000798470180;0;1;1;0;0;;0;Výrobce#-#KREUL;0;0;0;;;;0
4717_24298365;47019;"KREUL Lakový marker lesklý - medium - rôzne odtiene";"KREUL Lakový marker lesklý - medium - rôzne odtiene";0;3.99;_vyr_47019_v_aa.jpg;_vyrn_47019_v_aa.jpg;ks;;;;144-3689;1;0;0;4000798470197;0;1;1;0;0;;0;Výrobce#-#KREUL;0;0;0;;;;0
4717_24298366;47020;"KREUL Lakový marker lesklý - medium - rôzne odtiene";"KREUL Lakový marker lesklý - medium - rôzne odtiene";0;3.99;_vyr_47020_v_aa.jpg;_vyrn_47020_v_aa.jpg;ks;;;;144-3690;1;0;0;4000798470203;0;1;1;0;0;;0;Výrobce#-#KREUL;0;0;0;;;;0
4717_24298367;47021;"KREUL Lakový marker lesklý - medium - rôzne odtiene";"KREUL Lakový marker lesklý - medium - rôzne odtiene";0;3.99;_vyr_47021_v_aa.jpg;_vyrn_47021_v_aa.jpg;ks;;;;144-3691;1;0;0;4000798470210;0;1;1;0;0;;0;Výrobce#-#KREUL;0;0;0;;;;0
